"id","code","nom","telephone","parent_id","ville_id","email","fax","code_postal","origine_emission_id","categorie","adresse","date_created"
"19","Portefeuille Egypte 1","Portefeuille Egypte ARAMYNABIH","","4","","","","","","PORTEFEUILLE","","current_timestamp"
"20","Portefeuille FES 1","Portefeuille FES ZBRAHIMI","","5","","","","","","PORTEFEUILLE","","current_timestamp"
"21","Portefeuille FES 2","Portefeuille FES KBENDAOUD","","5","","","","","","PORTEFEUILLE","","current_timestamp"
"22","Portefeuille KSA1","Portefeuille AROUHI","","2","","","","","","PORTEFEUILLE","","current_timestamp"
"23","Portefeuille LAAYOUNE 1","Portefeuille LAAYOUNE KELGUERGAAI","","6","","","","","","PORTEFEUILLE","","current_timestamp"
"24","Portefeuille MARRAKECH 1","Portefeuille MARRAKECH YTENZALI","","7","","","","","","PORTEFEUILLE","","current_timestamp"
"25","Portefeuille MARRAKECH 2","Portefeuille MARRAKECH YZEGZOUTI","","7","","","","","","PORTEFEUILLE","","current_timestamp"
"26","Portefeuille OUJDA 1","Portefeuille OUJDA ABEKKAOUI","","8","","","","","","PORTEFEUILLE","","current_timestamp"
"27","Portefeuille OUJDA 2","Portefeuille OUJDA KATRARI","","8","","","","","","PORTEFEUILLE","","current_timestamp"
"28","Portefeuille RABAT 1","Portefeuille RABAT SELGARTI","","9","","","","","","PORTEFEUILLE","","current_timestamp"
"29","Portefeuille RABAT 2","Portefeuille RABAT MABEKKARI","","9","","","","","","PORTEFEUILLE","","current_timestamp"
"30","Portefeuille RABAT 3","Portefeuille RABAT HELGAOUZI","","9","","","","","","PORTEFEUILLE","","current_timestamp"
"31","Portefeuille RABAT 4","Portefeuille RABAT ITALI","","9","","","","","","PORTEFEUILLE","","current_timestamp"
"32","Portefeuille RABAT 5","Portefeuille RABAT ADRAIJI","","9","","","","","","PORTEFEUILLE","","current_timestamp"
"33","Portefeuille RABAT 6","Portefeuille RABAT ABESSASRA","","9","","","","","","PORTEFEUILLE","","current_timestamp"
"34","Portefeuille TANGER 1","Portefeuille TANGER IAGAROUD","","10","","","","","","PORTEFEUILLE","","current_timestamp"
"35","Portefeuille TUNISIE 1","Portefeuille TUNISIE MBENALI","","11","","","","","","PORTEFEUILLE","","current_timestamp"
"37","5426090","CAP TOURS","537733571","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","7RUE DAMAS  ","current_timestamp"
"38","5420047","LABEL TRS ","537636261","28","16","SELGARTI@ROYALAIRMAROC,COM","","","206898","AGENCE","575 1ER 2TAGE GROUPE AL AHD HAY NAHDA1 ","current_timestamp"
"39","5427333","TIM TRS","537707060","28","16","SELGARTI@ROYALAIRMAROC,COM","","","206898","AGENCE","4 RUE MY SLIMANE ","current_timestamp"
"40","5420994","VGES SANS FRONTIERES","537708215","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","1RUE TANTA  ","current_timestamp"
"41","5425709","SEBOU VGES","537378236","33","16","ABESSASRA@RoyalAirMaroc.com","","","206898","AGENCE","  3, rue Al Moutanabi, imm. Samia 5","current_timestamp"
"42","5422820","CARLSON WAGONS LITS","537709625","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","  1, Avenue Amir Moulay Abdellah","current_timestamp"
"43","5421103","SKYLINE TVL","537706288","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","13RUE BENZART PLACE PIETRI ","current_timestamp"
"44","5421302","DIWAN TOURS","537731831","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","30RUE ABOUFARES AL MARINI NR1  ","current_timestamp"
"45","5420999","CHELLAH VOYAGES","537200820","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","  10, Avenue Moulay Youssef","current_timestamp"
"46","5421102","VGES FAMILY","537774331","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","AVENUE OMAR IBN LKHATTAB PREMIERE ETAGE NR1 IMM 24 RESIDENCE EDELWEISE AGDAL  ","current_timestamp"
"47","5421130","SAFARI VOYAGES","537262720","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","ANGLE BLV ALAOUIYINE RUE ALMARINIEEN 13 TOUR HASSAN  ","current_timestamp"
"48","5420139","ATLAS VOYAGES","537673040","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","  59, Bd Ibn Sina, Apprt n°1, Agdal","current_timestamp"
"49","5421063","TERRATOURS","537262002","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","121 AV ALLAL BEN ABDELLAH  ou 23, Rue Al Maarif, Quartier Aviation","current_timestamp"
"50","5422819","TAM VOYAGES","537766199","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","107 AVN ALLA BEN ABDALLAH  ","current_timestamp"
"51","5421195","PREMICES VOYAGES","537773321","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","21PLACE ABOUBAKR ESSIDIK AGDAL  ","current_timestamp"
"52","5427217","QAMRA VOYAGES","537795210","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","RESIDENCE FIRDAOUS, N 2 AVENUE AL KIFAH","current_timestamp"
"53","5427266","ABM VOYAGES","537205952","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","AV HASSAN II N229 1ER ETAGE APP N3","current_timestamp"
"54","5420043","SILVER VOYAGES","537795156","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","MAG N37 BLOC 4 N11 AV ALMAJD MASSIRA III","current_timestamp"
"56","5421059","ASFAR TOUR HASSAN","537701250","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","ASFAR TOUR HASSAN 50AV ALLAL BEN ABDELLAH ","current_timestamp"
"57","5427316","DAKHLA LUXURY TRAVEL","537,737,801","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","RUE CONGO IMMEUBLE 23 1ER ETAGE APPT 8","current_timestamp"
"58","5427338","EL OUAZZANI VOYAGES","537853068","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","RUE LALLA EL YACOUT N 13 TABRIKET SALE","current_timestamp"
"59","5427295","MOBARAKA","537404000","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","3471 MAGASIN N1, QUARTIER AL WIFAQ RDC TEMARA","current_timestamp"
"60","5427314","OCEAN VIEW HOLIDAYS","537645051","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","  LOT NAKHLA N4 AV MOHAMED SIX TEMARA","current_timestamp"
"61","5427185","PLATINIUM","537701928","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","17 AVENUE TOUR HASSAN ","current_timestamp"
"62","5427239","3M HOLIDAYS","537618364","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","RIAD OULAD MTAA 121  1 ER ETAGE  TEMARA","current_timestamp"
"63","5427290","JUST TRAVEL","771272727","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","22, RUE IBN TAYEB EL KADIRI LES ORANGERS","current_timestamp"
"65","5421115","PACK VOYAGES","537682191","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","1, bis Av. Ibn Sina","current_timestamp"
"67","5427191","RAWANE TRAVELS","537200212","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE"," Av. Madagascar","current_timestamp"
"68","5427269","TIZI RANDONNEES","537375354","33","144","ABESSASRA@RoyalAirMaroc.com","","","206898","AGENCE","46 Av My abderrahmane n°1 ","current_timestamp"
"69","5421313","HISTORIC VOYAGES","537375942","33","16","ABESSASRA@RoyalAirMaroc.com","","","206898","AGENCE","Angle Av. Mohammed V et Rue Sebta","current_timestamp"
"70","5422808","SMACT VGES","537371730","33","16","ABESSASRA@RoyalAirMaroc.com","","","206898","AGENCE","  39, Rue Moulay Abdellah","current_timestamp"
"71","5420990","MAJESTIC TOURS","537675724","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","46 AVN FAL OULD OUMEIR AGDAL  ","current_timestamp"
"72","5421324","EQUINOXE VOYAGE","537563060","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","5 AVENUE ANNAKHIL HAY RIAD  ","current_timestamp"
"73","5421255","EMI VOYAGES","537777722","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","17 RUE BAHT RESIDENCE ENNARJISS APPT 9 AGDAL  ","current_timestamp"
"74","5421300","MOOIZ VOYAGES SARL","537730873","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","125 RUE MAATI BAKHAY HASSAN  ","current_timestamp"
"75","5421071","DIJA TOURS","537762680","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","  47, Rue Patrice Lumumba","current_timestamp"
"76","5421084","AVIA TOURS","537731131","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","5AVENUE TRIPOLI HASSAN ","current_timestamp"
"77","5428081","VOYAGES MORTIER","537376040","33","16","ABESSASRA@RoyalAirMaroc.com","","","206898","AGENCE","  106, Av. Med V et Angle Av. Med Diouri, BP 244","current_timestamp"
"78","5421404","TAKOTOURS SARL","537845171","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","Hay Nahda1, Immeuble 30, Témara","current_timestamp"
"79","5421441","BOUREGREG EVENT TRAVEL","537731093","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","113, Avenue Allal Ben Abdellah,","current_timestamp"
"80","5421422","YAZ TOURS","537614682","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","242, Av. Moulay Driss, El Massira I, Temara ","current_timestamp"
"81","5421389","ASWAR VOYAGES","537371703","33","16","ABESSASRA@RoyalAirMaroc.com","","","206898","AGENCE","Magasin n°4, résidence Ennassim, angle av Med V & Abou Bakr Essedik","current_timestamp"
"82","5421401","MARISAR MANAR TRAVEL","537708107","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","AVENUE HASSAN II CITE AL MANAR IMM A DIOUR JAMAA  ","current_timestamp"
"83","5421425","SIGMA BETA SARL AU","537727218","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","59, Rue Patrice Lumumba- Hassan- RABAT.","current_timestamp"
"84","5421365","NOUR VOYAGES","537686815","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","57RUE SEBOU APPT 3 2EME ETAGE AGDAL  ","current_timestamp"
"85","5421224","ILYA TOURS","537763215","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","24 AVN D ALGER HASSAN ","current_timestamp"
"86","5421124","FAN TOURS","537203272","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","2 Rue Bab Rouah  ","current_timestamp"
"87","5421138","FADEL VOYAGES","537200602","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","5,RUE BAIT LAHM, AVE MOHAMMED V  ","current_timestamp"
"88","5421285","INTERNATIONAL TRAVEL CONSULTAN","537737474","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","36RUE IDRISS AL AKBAR M4 HASSAN  ","current_timestamp"
"89","5421350","ALAARABIA VOYAGES TOURISME","537602323","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","3 LOD RIAD OULED METAA SECTEUR 2 TEMARA  ","current_timestamp"
"90","5421118","AL HASSANIA AGDAL","537639684","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","33 MEGA MALL AVN MED6 ROUTE ZAIR  ","current_timestamp"
"91","5421261","AMWAJ VOYAGES","537882324","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","RISIDENCE ESSADA3 NR2 SANIAT LAGHRABLIA ","current_timestamp"
"92","5425227","FAST VOYAGES","537706734","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","  2, Rue du Caire, Hassan, RABAT","current_timestamp"
"93","5421344","RITAJ VOYAGES","537707989","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","12 RUE TELEMCEN MAG N2  ","current_timestamp"
"94","5420101","ATLAS VOYAGES","537673040","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","59 , avenue ibn SIna , Appt n°01 agdal RABAT","current_timestamp"
"95","5421355","SUPRATOURS TRAVEL","537777914","31","16","ITALI@RoyalAirMaroc.com","","","206898","AGENCE","65, Av Fal Oueld Oumeir, Agdal, RABAT","current_timestamp"
"96","5421238","TREKKING TOURS","537729185","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","3 AVN ABDELKRIM AL KHATTABI ANGLE RUE OSLO RESIDENCE AL MOHIT  ","current_timestamp"
"97","5421236","TUT TRAVEL TOURIM","537709829","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","16RUE TANTA DERIERE HOTEL BALIMA  ","current_timestamp"
"98","5421022","ALTITUDE VGES","537778400","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","  Angle Av. Fal Oueld Oumeir et Av. de France,  n°6, Résidence Rif, Agdal","current_timestamp"
"99","5427019","MODERN TVL AGENCY","537704692","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","11 PLACE ALJOULANE  ","current_timestamp"
"100","5421356","AL HARAMAINE VOYAGES","537763352","32","16","ADRAIJI@atlasmultiservices.com","","","206898","AGENCE","14 AVN ALGER HASSAN  ","current_timestamp"
"101","5420017","Colchique Voyages","537777781","30","16","HELGAOUZI@ROYALAIRMAROC,COM","","","206898","AGENCE","Angle avenue Al Abtal et rue Oued Ziz, n° 12 – APPRT 1 – Agdal ","current_timestamp"
"102","5421431","Riyad Tours","537777879","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","rue aguelmane sidi alil,imm 44 3 eme etage n° 13,AGDAL      ","current_timestamp"
"103","5420027","L’Atelier Du Voyage","537632353","28","16","SELGARTI@RoyalAirMaroc.com","","","206898","AGENCE","N°2 Imm Laela, Avenue Al Haouz  EL Youssoufia, Takaddoum RABAT","current_timestamp"
"104","5421454","EVENEMENT VOYAGE","537292901","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","Hay El Fath, Massira 5, Immeuble 4, n° 1 et 2, CYM","current_timestamp"
"105","5421463","JAZIRA VOYAGES","212537741","29","16","MABEKKARI@RoyalAirMaroc.com","","","206898","AGENCE","19 AVENUE HASSAN II","current_timestamp"
"106","5421367","ARAB HOLIDAYS","+212.528.931313","23","139","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","AV IMLILI, HAY AL MATAR ","current_timestamp"
"107","5420013","DAKHLA REGENCY TRAVEL","+212.528.933023","23","139","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","AVENUE EL WALAA","current_timestamp"
"108","5421312","EL SAHARIANO TRAVEL","+212.528.123456","23","145","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","ANGLE BD MEKKA ET RUE 20 AOUT N 05 ","current_timestamp"
"109","5427165","FADEL SAHARA TOURS","+212.528.891993","23","145","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","HAY MOULAY RACHID AV MED ZERKTOUNI RUE CHOUKANI PROPRIETE CHRIFE N1 RDC","current_timestamp"
"110","5427216","FAYDOUL TOURS","+212.528.890707","23","145","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","AVENUE DE LA MECQUE, N200","current_timestamp"
"111","5421381","RIO DE ORO VOYAGES II","+212.668.486242","23","139","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","AVENUE 4 MARS BP.481","current_timestamp"
"112","5427265","SAHARA CANARIA TIRASS","+212.528.894125","23","145","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","181 AVENUE DE LA MECQUE","current_timestamp"
"113","5427304","LAAYOUNE TOURS","+212.528.997614","23","145","KELGUERGAAI@RoyalAirMaroc.com","","","206898","AGENCE","AVENUE ZERKTOUNI IMM BOUNOUADER NR 16 BLOC 20 NR 01 ET 02","current_timestamp"
"114","5420015","MARRAKECH VGES","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","145 AVENUE MOHAMED V GUELIZ  ","current_timestamp"
"115","5421209","ASFAR TASSAOUT","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","61 PASSAGE GHANDOURI RUE YOUGOSLAVIE GUELIZ  ","current_timestamp"
"116","5421275","ANOUAR VOYAGES","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","132,RUE MOHAMMED EL BEKKAL-GUELIZ  ","current_timestamp"
"117","5421064","PALMIERS VOYAGES OZZ","2.13E+11","25","148","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","BD MY RACHID EX RUE DE LA POSTE  ","current_timestamp"
"118","5420992","LOKA VOYAGES","2.13E+11","25","17","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","7 IMM GHAIBI AV ZERKTOUNI  ","current_timestamp"
"119","5421296","TRAVEL LINK","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","GUELIZ AVENUE MED 5  ","current_timestamp"
"120","5421347","MOUNTAIN VOYAGE","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","18 AVENUE YACOUB MANSOUR RESIDENCE MIRADOR MAJORELLE  ","current_timestamp"
"121","5421314","EM VOYAGES","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","33, Bd Zerktouni passage Ghandouri Guéliz ","current_timestamp"
"122","5421427","EXPLORE THE WORLD","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","LA S TORES MAJORELLE 7 RDC  ","current_timestamp"
"123","5421346"," MAZAR VOYAGES","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","19 RUE PRINCE MLY ABDELLAH ET 11 JANVIER BAB DOUKALA ","current_timestamp"
"124","5420091","K T I ","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","173 BOULEVARD MOHAMED 5 GUELIZ","current_timestamp"
"125","5421204","SOUMIA VOYAGES","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","26 RUE IMAM CHAFAI KAWKAB CENTER","current_timestamp"
"126","5421192","HIBISCUS TRAVEL","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","3 RUE ALKORONFOL APP 2 EME ETAGE LOT LAARISSA IMM JAOUAHER ROUIDATE","current_timestamp"
"127","5421213","VOYAGES 21","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","BD MOULAY ABDELLAH IMM SAFAA 28 BLOC A 3 EME ATAGE APPT N 15","current_timestamp"
"128","5421410","ANDO TRAVEL","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","ALLAL EL FASSI IMM 26 N 9  ","current_timestamp"
"129","5420096","PALMIER VOYAGES RAK","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","AV HASSAN II IMM DES HABOUS G2 BAB DOUKALA ","current_timestamp"
"130","5421256","IMAGINE LE VOYAGE","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","ANGLE EL MOUAHIDINE ET BANI MARINE 1ER ETAGE MEDINA","current_timestamp"
"131","5421406","MONDIAL VOYAGES","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","115 RESIDENCE MAMOUNE OLM QUARTIER EL GHOUL, GUELIZ  ","current_timestamp"
"132","5421403","SOUMA TRAVEL","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","N 16 RES LAS TORRES DE MAJORELLEE ACIMA AV YACOUB EL MANSOUR  ","current_timestamp"
"133","5421317"," TINMEL VOYAGES SARL","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","ANGLE RUE SEBOU ET BEN ATIA N8 GUELIZ","current_timestamp"
"134","5420049","IDEAL TRAVEL","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","ANGLE AV MOHAMED 5 ET IMMAM ALI IM GENEROSA APP 3 GUELIZ","current_timestamp"
"135","5420018","SCALIGERA VIAGGI","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","BORG MENARA 2 SIS AV ABDELKRIM EL KHATTABI BLOC A N9 2EME ETAGE","current_timestamp"
"136","5421446","MARRAKECH HOLIDAYS","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","rue Mauritanie, Imm. Massaoudi n°10","current_timestamp"
"137","5427202","VACANCIA TOURS  ET EVENTS","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","KOUTOUBIA CENTER II 4EME ETAGE","current_timestamp"
"138","5427188","QAFILAT TAYBA","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","BUREAU N  1 MOSQUEE KHALID BEN AL WALID LOTISSEMENT SANAOUBAR","current_timestamp"
"139","5427206","JCI TOURS","2.13E+11","24","11","YTENZALI@RoyalAirMaroc.com","","","206898","AGENCE","AV EL MANSOUR EDDAHBI RES EL HABIB 65  4EME ETAGE APPT 34 GUELIZ","current_timestamp"
"140","5427319","SENSORIAL TRAVEL","2.13E+11","25","11","YZEGZOUTI@RoyalAirMaroc.com","","","206898","AGENCE","223 BD MOHAMED V RES NACARAT  N408 GUELIZ","current_timestamp"
"141","9021709","A TRVL","1022222708","19","300","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","   23 Abo Dawood El Zahry, Makram Ebeid, Nasr City, Cairo","current_timestamp"
"142","9024153","Karnak Travel ","1001210553","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","3A Abu EL Ataheya St. in front of International Garden","current_timestamp"
"143","9025842","Flyin ","1281666169","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","53-BRORJ ALJAZEERA-CORRINCHE ELMAADI","current_timestamp"
"144","9020265","FAMILY TOURS","1113055120","19","300","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","255 PORT SAID STREET","current_timestamp"
"145","9025635","AL QADESIA ","100377031","19","3","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","TAHRIR SQUARE ST. FIRST OF ZA ALSHARQIA","current_timestamp"
"146","9026042","BLUE SKY TRAVEL","1001799096","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","1 TALAAT HARB SQUARE - DOWN TOWN","current_timestamp"
"147","9020460","BLUE SKY TRAVEL","1001799096","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","2 TALAAT HARB SQUARE - DOWN TOWN","current_timestamp"
"148","9020452","BLUE SKY TRAVEL","1001799096","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","3 TALAAT HARB SQUARE - DOWN TOWN","current_timestamp"
"149","9020347","BLUE SKY TRAVEL","1001799096","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","4 TALAAT HARB SQUARE - DOWN TOWN","current_timestamp"
"150","9021743","El Mageed Travel ","100733402","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","26, AV. SHARIF BUILDING","current_timestamp"
"151","9020090","M A K TRAVEL","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","6 TALAAT HARB SQUARE - DOWN TOWN","current_timestamp"
"152","9021138","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","22 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"153","9020520","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","23 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"154","9020462","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","24 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"155","9020455","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","25 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"156","9020482","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","26 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"157","9020510","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","27 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"158","9020516","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","28 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"159","9020534","Excel ","1222182307","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","29 Desouk St., From El Emam Ali, El Ismailia Square, Heliopolis, Cairo ","current_timestamp"
"160","9020124","KANOO TRAVEL","1204111913","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","1229 EL SHIKH ALI GAD EL HAK - FLORIDA TOWER - SHERATON","current_timestamp"
"161","9024142","KANOO TRAVEL","1204111913","19","301","ARAMYNABIH@RoyalAirMaroc.com","","","206900","AGENCE","1230 EL SHIKH ALI GAD EL HAK - FLORIDA TOWER - SHERATON","current_timestamp"
